小区名称,地址,建筑时间,楼栋,单元,门牌,朝向,面积
中澳世纪城,坦洲,2014,13,1,101,南北,110
中澳世纪城,坦洲,2014,13,1,102,东西,140
中澳世纪城,坦洲,2014,13,1,103,南北,130
中澳世纪城,坦洲,2014,13,1,104,东西,110
中澳世纪城,坦洲,2014,13,1,201,南北,110
中澳世纪城,坦洲,2014,13,1,202,东西,140
中澳世纪城,坦洲,2014,13,1,203,南北,130
中澳世纪城,坦洲,2014,13,1,204,东西,110
中澳世纪城,坦洲,2014,13,1,301,南北,110
中澳世纪城,坦洲,2014,13,1,302,东西,140
中澳世纪城,坦洲,2014,13,1,303,南北,130
中澳世纪城,坦洲,2014,13,1,304,东西,110
中澳世纪城,坦洲,2014,13,1,401,南北,110
中澳世纪城,坦洲,2014,13,1,402,东西,140
中澳世纪城,坦洲,2014,13,1,403,南北,130
中澳世纪城,坦洲,2014,13,1,404,东西,110
中澳世纪城,坦洲,2014,13,1,501,南北,110
中澳世纪城,坦洲,2014,13,1,502,东西,140
中澳世纪城,坦洲,2014,13,1,503,南北,130
中澳世纪城,坦洲,2014,13,1,504,东西,110
中澳世纪城,坦洲,2014,13,1,601,南北,110
中澳世纪城,坦洲,2014,13,1,602,东西,140
中澳世纪城,坦洲,2014,13,1,603,南北,130
中澳世纪城,坦洲,2014,13,1,604,东西,110
中澳世纪城,坦洲,2014,13,1,701,南北,110
中澳世纪城,坦洲,2014,13,1,702,东西,140
中澳世纪城,坦洲,2014,13,1,703,南北,130
中澳世纪城,坦洲,2014,13,1,704,东西,110
中澳世纪城,坦洲,2014,13,1,801,南北,110
中澳世纪城,坦洲,2014,13,1,802,东西,140
中澳世纪城,坦洲,2014,13,1,803,南北,130
中澳世纪城,坦洲,2014,13,1,804,东西,110
中澳世纪城,坦洲,2014,13,1,901,南北,110
中澳世纪城,坦洲,2014,13,1,902,东西,140
中澳世纪城,坦洲,2014,13,1,903,南北,130
中澳世纪城,坦洲,2014,13,1,904,东西,110
中澳世纪城,坦洲,2014,13,1,1001,南北,110
中澳世纪城,坦洲,2014,13,1,1002,东西,140
中澳世纪城,坦洲,2014,13,1,1003,南北,130
中澳世纪城,坦洲,2014,13,1,1004,东西,110
中澳世纪城,坦洲,2014,13,1,1101,南北,110
中澳世纪城,坦洲,2014,13,1,1102,东西,140
中澳世纪城,坦洲,2014,13,1,1103,南北,130
中澳世纪城,坦洲,2014,13,1,1104,东西,110
中澳世纪城,坦洲,2014,13,1,1201,南北,110
中澳世纪城,坦洲,2014,13,1,1202,东西,140
中澳世纪城,坦洲,2014,13,1,1203,南北,130
中澳世纪城,坦洲,2014,13,1,1204,东西,110
中澳世纪城,坦洲,2014,13,1,1301,南北,110
中澳世纪城,坦洲,2014,13,1,1302,东西,140
中澳世纪城,坦洲,2014,13,1,1303,南北,130
中澳世纪城,坦洲,2014,13,1,1304,东西,110
中澳世纪城,坦洲,2014,13,1,1401,南北,110
中澳世纪城,坦洲,2014,13,1,1402,东西,140
中澳世纪城,坦洲,2014,13,1,1403,南北,130
中澳世纪城,坦洲,2014,13,1,1404,东西,110
中澳世纪城,坦洲,2014,13,1,1501,南北,110
中澳世纪城,坦洲,2014,13,1,1502,东西,140
中澳世纪城,坦洲,2014,13,1,1503,南北,130
中澳世纪城,坦洲,2014,13,1,1504,东西,110
中澳世纪城,坦洲,2014,13,1,1601,南北,110
中澳世纪城,坦洲,2014,13,1,1602,东西,140
中澳世纪城,坦洲,2014,13,1,1603,南北,130
中澳世纪城,坦洲,2014,13,1,1604,东西,110
中澳世纪城,坦洲,2014,13,1,1701,南北,110
中澳世纪城,坦洲,2014,13,1,1702,东西,140
中澳世纪城,坦洲,2014,13,1,1703,南北,130
中澳世纪城,坦洲,2014,13,1,1704,东西,110
中澳世纪城,坦洲,2014,13,1,1801,南北,110
中澳世纪城,坦洲,2014,13,1,1802,东西,140
中澳世纪城,坦洲,2014,13,1,1803,南北,130
中澳世纪城,坦洲,2014,13,1,1804,东西,110
